Date : 2025-03-11 17:03:44
Directory : c:\xampp\htdocs\JobRadar
Total : 218 files,  18063 codes, 6571 comments, 2710 blanks, all 27344 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\JobRadar\Components\Accueil\infoUser.php                                                         | PHP          |         56 |          2 |          2 |         60 |
| c:\xampp\htdocs\JobRadar\Components\Presentation\entreprise.php                                                  | PHP          |        203 |          7 |         18 |        228 |
| c:\xampp\htdocs\JobRadar\Components\Presentation\experiance.php                                                  | PHP          |        163 |         13 |         12 |        188 |
| c:\xampp\htdocs\JobRadar\Components\Profile\index.php                                                            | PHP          |         93 |          6 |          8 |        107 |
| c:\xampp\htdocs\JobRadar\Components\Prophile\entrepriseProphile.php                                              | PHP          |         47 |          2 |          2 |         51 |
| c:\xampp\htdocs\JobRadar\Components\Prophile\infoExperiance.php                                                  | PHP          |         21 |          2 |          4 |         27 |
| c:\xampp\htdocs\JobRadar\Components\Prophile\prophile.php                                                        | PHP          |        231 |          4 |         10 |        245 |
| c:\xampp\htdocs\JobRadar\Components\ajout_entreprise.php                                                         | PHP          |         46 |          2 |          4 |         52 |
| c:\xampp\htdocs\JobRadar\Components\ajout_experiance.php                                                         | PHP          |         68 |          2 |          5 |         75 |
| c:\xampp\htdocs\JobRadar\Components\connexion.php                                                                | PHP          |         29 |          1 |          4 |         34 |
| c:\xampp\htdocs\JobRadar\Components\deconnexion.php                                                              | PHP          |          5 |          0 |          0 |          5 |
| c:\xampp\htdocs\JobRadar\Components\footer.html                                                                  | HTML         |         31 |          0 |          0 |         31 |
| c:\xampp\htdocs\JobRadar\Components\header.php                                                                   | PHP          |         76 |          2 |          8 |         86 |
| c:\xampp\htdocs\JobRadar\Components\inscription.php                                                              | PHP          |         68 |          1 |          9 |         78 |
| c:\xampp\htdocs\JobRadar\api\annonce\add_annonce.php                                                             | PHP          |         38 |         12 |         12 |         62 |
| c:\xampp\htdocs\JobRadar\api\annonce\selectAllAnnonce.php                                                        | PHP          |         10 |          0 |          2 |         12 |
| c:\xampp\htdocs\JobRadar\api\database.php                                                                        | PHP          |        118 |          3 |         17 |        138 |
| c:\xampp\htdocs\JobRadar\api\delete_exp.php                                                                      | PHP          |         44 |          2 |          3 |         49 |
| c:\xampp\htdocs\JobRadar\api\entreprise\add_piece_jointe_document.php                                            | PHP          |         69 |          5 |          9 |         83 |
| c:\xampp\htdocs\JobRadar\api\entreprise\add_piece_jointe_image.php                                               | PHP          |         69 |          5 |          9 |         83 |
| c:\xampp\htdocs\JobRadar\api\entreprise\delete_ent.php                                                           | PHP          |         44 |          2 |          3 |         49 |
| c:\xampp\htdocs\JobRadar\api\entreprise\edit_image_entreprise.php                                                | PHP          |         72 |          6 |          7 |         85 |
| c:\xampp\htdocs\JobRadar\api\entreprise\update_ent.php                                                           | PHP          |         50 |          0 |          4 |         54 |
| c:\xampp\htdocs\JobRadar\api\errorMail.html                                                                      | HTML         |         42 |          0 |          4 |         46 |
| c:\xampp\htdocs\JobRadar\api\login.php                                                                           | PHP          |         54 |          4 |          4 |         62 |
| c:\xampp\htdocs\JobRadar\api\nbr.php                                                                             | PHP          |          4 |          1 |          0 |          5 |
| c:\xampp\htdocs\JobRadar\api\prophile\edit_photo_prophile.php                                                    | PHP          |         76 |          6 |          7 |         89 |
| c:\xampp\htdocs\JobRadar\api\saveEntreprise.php                                                                  | PHP          |         88 |          7 |         10 |        105 |
| c:\xampp\htdocs\JobRadar\api\saveExperiance.php                                                                  | PHP          |        133 |         12 |         14 |        159 |
| c:\xampp\htdocs\JobRadar\api\saveUser.php                                                                        | PHP          |         49 |          2 |          5 |         56 |
| c:\xampp\htdocs\JobRadar\api\sendEmail.php                                                                       | PHP          |         28 |          5 |          8 |         41 |
| c:\xampp\htdocs\JobRadar\api\update_exp.php                                                                      | PHP          |         96 |         25 |         13 |        134 |
| c:\xampp\htdocs\JobRadar\api\validateCode.php                                                                    | PHP          |         15 |          0 |          3 |         18 |
| c:\xampp\htdocs\JobRadar\composer.json                                                                           | JSON         |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\JobRadar\composer.lock                                                                           | JSON         |        100 |          0 |          1 |        101 |
| c:\xampp\htdocs\JobRadar\index.php                                                                               | PHP          |        126 |          4 |          5 |        135 |
| c:\xampp\htdocs\JobRadar\public\documents\1151739509332.html                                                     | HTML         |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\JobRadar\public\documents\1161740215592.html                                                     | HTML         |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\JobRadar\script\ajout_entreprise.js                                                              | JavaScript   |         15 |          0 |          3 |         18 |
| c:\xampp\htdocs\JobRadar\script\ajout_experiance.js                                                              | JavaScript   |         78 |          0 |          9 |         87 |
| c:\xampp\htdocs\JobRadar\script\header.js                                                                        | JavaScript   |          0 |          0 |          1 |          1 |
| c:\xampp\htdocs\JobRadar\script\index.js                                                                         | JavaScript   |         85 |         13 |         12 |        110 |
| c:\xampp\htdocs\JobRadar\script\inscription.js                                                                   | JavaScript   |        151 |          6 |         26 |        183 |
| c:\xampp\htdocs\JobRadar\script\presentation_ent.js                                                              | JavaScript   |        121 |         31 |         17 |        169 |
| c:\xampp\htdocs\JobRadar\script\presentation_exp.js                                                              | JavaScript   |         78 |          0 |          6 |         84 |
| c:\xampp\htdocs\JobRadar\script\prophile.js                                                                      | JavaScript   |         23 |          8 |          5 |         36 |
| c:\xampp\htdocs\JobRadar\style\connexion.css                                                                     | CSS          |         56 |          0 |          2 |         58 |
| c:\xampp\htdocs\JobRadar\style\entreprise.css                                                                    | CSS          |         84 |          0 |          1 |         85 |
| c:\xampp\htdocs\JobRadar\style\experiance.css                                                                    | CSS          |        103 |          0 |          2 |        105 |
| c:\xampp\htdocs\JobRadar\style\footer.css                                                                        | CSS          |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\JobRadar\style\header.css                                                                        | CSS          |        146 |         26 |          4 |        176 |
| c:\xampp\htdocs\JobRadar\style\index.css                                                                         | CSS          |        262 |          1 |         41 |        304 |
| c:\xampp\htdocs\JobRadar\style\inscription.css                                                                   | CSS          |         89 |          0 |         15 |        104 |
| c:\xampp\htdocs\JobRadar\style\presentation_ent.css                                                              | CSS          |        314 |          5 |         46 |        365 |
| c:\xampp\htdocs\JobRadar\style\presentation_exp.css                                                              | CSS          |        219 |          1 |          4 |        224 |
| c:\xampp\htdocs\JobRadar\style\profile.css                                                                       | CSS          |         71 |          0 |          0 |         71 |
| c:\xampp\htdocs\JobRadar\style\prophile.css                                                                      | CSS          |        232 |          2 |         35 |        269 |
| c:\xampp\htdocs\JobRadar\vendor\autoload.php                                                                     | PHP          |         20 |          1 |          5 |         26 |
| c:\xampp\htdocs\JobRadar\vendor\composer\ClassLoader.php                                                         | PHP          |        286 |        235 |         59 |        580 |
| c:\xampp\htdocs\JobRadar\vendor\composer\InstalledVersions.php                                                   | PHP          |        188 |        140 |         51 |        379 |
| c:\xampp\htdocs\JobRadar\vendor\composer\autoload_classmap.php                                                   | PHP          |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\JobRadar\vendor\composer\autoload_namespaces.php                                                 | PHP          |          5 |          1 |          4 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\composer\autoload_psr4.php                                                       | PHP          |          6 |          1 |          4 |         11 |
| c:\xampp\htdocs\JobRadar\vendor\composer\autoload_real.php                                                       | PHP          |         25 |          4 |         10 |         39 |
| c:\xampp\htdocs\JobRadar\vendor\composer\autoload_static.php                                                     | PHP          |         28 |          1 |          8 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\composer\installed.json                                                          | JSON         |         90 |          0 |          1 |         91 |
| c:\xampp\htdocs\JobRadar\vendor\composer\installed.php                                                           | PHP          |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\JobRadar\vendor\composer\platform_check.php                                                      | PHP          |         21 |          1 |          5 |         27 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.codecov.yml                                                 | YAML         |         18 |          1 |          3 |         22 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\FUNDING.yml                                          | YAML         |          4 |          1 |          2 |          7 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\ISSUE_TEMPLATE\bug_report.md                         | Markdown     |         17 |          0 |          7 |         24 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\Dockerfile                        | Docker       |          9 |          1 |          6 |         16 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\actions\build-docs\entrypoint.sh                     | Shell Script |          2 |          1 |          3 |          6 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\dependabot.yml                                       | YAML         |          9 |          4 |          2 |         15 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\docs.yaml                                  | YAML         |         28 |          0 |          2 |         30 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\scorecards.yml                             | YAML         |         38 |         17 |          8 |         63 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.github\workflows\tests.yml                                  | YAML         |        161 |         31 |         31 |        223 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\.phan\config.php                                             | PHP          |         13 |         23 |          6 |         42 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\README.md                                                    | Markdown     |        168 |          0 |         64 |        232 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\SECURITY.md                                                  | Markdown     |         19 |          0 |         19 |         38 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\UPGRADING.md                                                 | Markdown     |         99 |          0 |         27 |        126 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\changelog.md                                                 | Markdown     |        954 |          0 |        125 |      1,079 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\composer.json                                                | JSON         |         80 |          0 |          1 |         81 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\docs\README.md                                               | Markdown     |          5 |          0 |          4 |          9 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\README.md                                           | Markdown     |         53 |          0 |         44 |         97 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contents.html                                       | HTML         |         17 |          0 |          1 |         18 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\contentsutf8.html                                   | HTML         |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\examples\images\PHPMailer card logo.svg                      | XML          |        209 |          0 |          1 |        210 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\get_oauth_token.php                                          | PHP          |        117 |         48 |         18 |        183 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-af.php                               | PHP          |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ar.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-as.php                               | PHP          |         28 |          5 |          3 |         36 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-az.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ba.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-be.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-bg.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-bn.php                               | PHP          |         28 |          5 |          3 |         36 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ca.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-cs.php                               | PHP          |         22 |          4 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-da.php                               | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-de.php                               | PHP          |         22 |          4 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-el.php                               | PHP          |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-eo.php                               | PHP          |         20 |          4 |          3 |         27 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-es.php                               | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-et.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-fa.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-fi.php                               | PHP          |         13 |         12 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-fo.php                               | PHP          |         13 |         12 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-fr.php                               | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-gl.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-he.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-hi.php                               | PHP          |         27 |          6 |          3 |         36 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-hr.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-hu.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-hy.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-id.php                               | PHP          |         22 |          7 |          3 |         32 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-it.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ja.php                               | PHP          |         27 |          8 |          3 |         38 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ka.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ko.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ku.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-lt.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-lv.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-mg.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-mn.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php                               | PHP          |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php                               | PHP          |         27 |          5 |          3 |         35 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php                               | PHP          |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php                               | PHP          |         20 |          5 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php                            | PHP          |         27 |          9 |          3 |         39 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php                               | PHP          |         27 |          4 |          3 |         34 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php                               | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-si.php                               | PHP          |         27 |          5 |          3 |         35 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php                               | PHP          |         22 |          6 |          3 |         31 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php                               | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php                          | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php                               | PHP          |         27 |          9 |          3 |         39 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php                               | PHP          |         20 |          6 |          3 |         29 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-ur.php                               | PHP          |         23 |          5 |          3 |         31 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php                               | PHP          |         19 |          6 |          3 |         28 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php                               | PHP          |         20 |          7 |          3 |         30 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php                            | PHP          |         27 |          7 |          3 |         37 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\phpdoc.dist.xml                                              | XML          |         20 |          0 |          1 |         21 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\DSNConfigurator.php                                      | PHP          |        136 |         80 |         30 |        246 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\Exception.php                                            | PHP          |          9 |         28 |          4 |         41 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\OAuth.php                                                | PHP          |         46 |         79 |         15 |        140 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\OAuthTokenProvider.php                                   | PHP          |          6 |         35 |          4 |         45 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\PHPMailer.php                                            | PHP          |      2,926 |      1,929 |        394 |      5,249 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\POP3.php                                                 | PHP          |        183 |        234 |         53 |        470 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\src\SMTP.php                                                 | PHP          |        747 |        619 |        144 |      1,510 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\DebugLogTestListener.php                                | PHP          |         25 |         13 |         10 |         48 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-fr.php         | PHP          |          2 |          6 |          3 |         11 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-nl.php         | PHP          |          2 |          6 |          3 |         11 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xa_scri_cc.php | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xb_scri.php    | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xc_cc.php      | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xd_cc.php      | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xd_scri.php    | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xe.php         | PHP          |          2 |          5 |          3 |         10 |
| c:\xampp\htdocs\JobRadar\vendor\phpmailer\phpmailer\test\Fixtures\LocalizationTest\phpmailer.lang-xx.php         | PHP          |          2 |          5 |          3 |         10 |
